metric,value
desired_percent,0.01
K,20
original_train_loss,2.4127118457614003
original_val_loss,3.0546703578085306
original_grad_norm,930.4305419921875
original_mean_iou,0.576187789440155
mean_orthogonality,0.001830814522691071
execution_time_seconds,3886.5775032043457
original_class_0_iou,0.9095807075500488
original_class_1_iou,0.9819603562355042
original_class_2_iou,0.7673438191413879
original_class_3_iou,0.00015931448433548212
original_class_4_iou,0.2662413418292999
original_class_5_iou,0.46475961804389954
original_class_6_iou,0.5256958603858948
original_class_7_iou,0.8084163665771484
original_class_8_iou,0.7316693067550659
original_class_9_iou,0.6477893590927124
original_class_10_iou,0.4528256356716156
original_class_11_iou,0.43207913637161255
original_class_12_iou,0.5019204020500183
