metric,value
desired_percent,1.0
K,20
original_train_loss,0.07716446566581726
original_val_loss,0.730990979373455
original_grad_norm,22.094985961914062
original_mean_iou,0.5846935796481761
mean_orthogonality,0.0004884773516096175
execution_time_seconds,6940.4300701618195
original_class_0_iou,0.9163342773260859
original_class_1_iou,0.9649618722924754
original_class_2_iou,0.7744117547276123
original_class_3_iou,7.837420548149193e-06
original_class_4_iou,0.16640003087828764
original_class_5_iou,0.49268344981138285
original_class_6_iou,0.33943508671691097
original_class_7_iou,0.7465252895974309
original_class_8_iou,0.8268713256521708
original_class_9_iou,0.5073829954814907
original_class_10_iou,0.6935835939671686
original_class_11_iou,0.6485100895320445
original_class_12_iou,0.5239089320226806
