metric,value
desired_percent,10.0
K,20
original_train_loss,1.2061624269485474
original_val_loss,1.404545922279358
original_grad_norm,689.0850830078125
original_mean_iou,0.6013980483931951
mean_orthogonality,0.0004961268859915435
execution_time_seconds,5750.690778493881
original_class_0_iou,0.9080682391481196
original_class_1_iou,0.9636853396750565
original_class_2_iou,0.7829969700595225
original_class_3_iou,4.829940803038033e-05
original_class_4_iou,0.21678288155062675
original_class_5_iou,0.49396224373960845
original_class_6_iou,0.4404802717190081
original_class_7_iou,0.7391700148698952
original_class_8_iou,0.8581890787873708
original_class_9_iou,0.5392776743845847
original_class_10_iou,0.6935009634914112
original_class_11_iou,0.6633585928334487
original_class_12_iou,0.5186540594448542
